id,source_id,name_ko,name_en,is_approved,review_notes
c7dd35e8-5cf7-58e5-ac94-186e9caae7b0,3ce,쓰리씨이,3CE,TRUE,
6b6af0b3-f49a-5f3a-a6f3-3a829c78eadb,abib,아비브,Abib,TRUE,
122306f4-1b88-507a-8fd2-218aafb8ea6e,ahc,에이에이치씨,AHC,TRUE,
071a2325-2bab-5b34-8188-6095d30638dd,aestura,에스트라,Aestura,TRUE,
978acb93-0e9b-5b4c-a06f-85af32f9c879,amorepacific,아모레퍼시픽,Amorepacific,TRUE,
f7425d0a-1e09-5783-b38d-7bc580262322,amos-professional,아모스프로페셔널,Amos Professional,TRUE,
ca92dab3-1f6a-5fdc-bede-b02abc8f340a,anua,아누아,Anua,TRUE,
5b714670-7359-51db-8253-5b446a2eee0c,atopalm,아토팜,Atopalm,TRUE,
c1299996-d2e9-5240-aca2-000910beef78,banila-co,바닐라코,Banila Co,TRUE,
4707822b-da67-5982-9b3d-d454690be959,beauty-of-joseon,조선미녀,Beauty of Joseon,TRUE,
6eb6af48-f86b-57fd-be3d-8b8214a19602,belif,빌리프,belif,TRUE,
548ed282-0e33-54c3-b1f5-af519e3f1a17,bio-heal-boh,바이오힐보,Bio Heal BOH,TRUE,
d0862fbb-0c98-5d66-81c2-8d7ceb03e41c,bioderma,바이오더마,Bioderma,TRUE,
98693c12-4352-5ca2-b4a9-ce1b060444b8,bonajour,보나쥬르,Bonajour,TRUE,
eb1008c9-214f-5834-885f-7ed3d6de5f53,by-wishtrend,바이위시트렌드,By Wishtrend,TRUE,
66c70d51-7778-5152-829b-37cef81cca12,cell-fusion-c,셀퓨전씨,Cell Fusion C,TRUE,
f99455d6-1f51-544c-99c7-19a9f9159609,cetaphil,세타필,Cetaphil,TRUE,
61a850be-2b69-5c40-8b55-40e54fbe8a78,clio,클리오,CLIO,TRUE,
5240a3c6-315a-565d-bf7e-cdb9154a9937,cosrx,코스알엑스,COSRX,TRUE,
2d6c3d34-26b9-5faf-a7cf-ae55b9c9dda9,dalba,달바,d'Alba,TRUE,
d5c13972-d540-5bf2-bc68-ade9ea74b2dc,dear-klairs,디어클레어스,"dear, Klairs",TRUE,
f77366bb-b1c4-5fef-aa08-86ca75f5efd2,dr-g,닥터지,Dr.G,TRUE,
a83c888f-3f77-59e1-a973-84e21ff1d4af,dr-jart,닥터자르트,Dr.Jart+,TRUE,
45b5232b-8e65-5c44-8d1b-2398d8444460,espoir,에스쁘아,espoir,TRUE,
33f7e173-b86c-50da-9d2f-e6b11c8590e8,etude,에뛰드,ETUDE,TRUE,
474ca76c-1674-535d-a07f-8e4c945800f7,fillimilli,필리밀리,Fillimilli,TRUE,
6bcb921e-fba8-55a7-9706-c0196160247c,goodal,구달,Goodal,TRUE,
36a31f48-958a-58ea-91c0-98cfb55939d9,hanyul,한율,Hanyul,TRUE,
b3b18e2c-a2c3-5f1b-a516-7356612bcc95,happy-bath,해피바스,Happy Bath,TRUE,
214e2cc4-a680-5e40-a4e2-4ad19c87bfbf,heimish,헤이미쉬,Heimish,TRUE,
4625585b-b9bf-5f2d-9b06-98c1369e97be,hera,헤라,HERA,TRUE,
f7f753fc-dcbe-54a5-b49c-ac4db79b7f72,huxley,헉슬리,Huxley,TRUE,
73de06cf-ee98-5db2-b856-e856ddab93cb,illiyoon,일리윤,Illiyoon,TRUE,
f4f9081a-cac1-5388-b5ec-c86213241927,innisfree,이니스프리,Innisfree,TRUE,
